"llhb","16","00120000.tif","22","2","h","","H.R. 617","1832-12-14","Read twice, and committed to a Committee of the Whole House to-morrow. Mr. E. Whittlesey, from the Committee of Claims, reported the following bill: A Bill For the relief of John Thompson.","Committee of the Whole House~Committee of Claims"
"llhb","16","00130000.tif","22","2","h","","H.R. 618","1832-12-14","Read twice, and Committed to a Committee of the Whole House to-morrow. Mr. E. Whittlesey, from the Committee of Claims, reported the following bill: A Bill For the relief of Richard Bagnall, executor of James B. Vaughan.","Committee of the Whole House~Committee of Claims"
"llhb","16","00140000.tif","22","2","h","","H.R. 619","1832-12-14","Read twice, and committed to a Committee of the Whole House on the state of the Union. Mr. Verplanck, from the Committee of Ways and Means, reported the following bill: A Bill To exempt merchandise imported under certain circumstances from the operation of the act of the nineteenth of May, one thousand eight hundred and twenty-eight, entitled ''An act in alteration of the several acts imposing duties on imports.''","Committee of the Whole House on the state of the Union~Committee of Ways and Means"
"llhb","16","00150002.tif","22","2","h","2","H.R. 619","1832-12-14","",""
"llhb","16","00160000.tif","22","2","h","","H.R. 620","1832-12-17","Read twice, and committed to a Committee of the Whole House to-morrow. Mr. E. Whittlesey, from the Committee of Claims, reported the following bill: A Bill For the relief of Whitford Gill.","Committee of the Whole House~Committee of Claims"
"llhb","16","00170000.tif","22","2","h","","H.R. 621","1832-12-17","Read twice, and committed to a Committee of the Whole House on the state of the Union. Mr. Verplanck, from the Committee of Ways and Means, reported the following bill: A Bill Making appropriations, in part, for the support of Government for the year one thousand eight hundred and thirty-three and for certain expenditures of the year one thousand eight hundred and thirty-two.","Committee of the Whole House on the state of the Union~Committee of Ways and Means"
"llhb","16","00180002.tif","22","2","h","2","H.R. 621","1832-12-17","",""
"llhb","16","00190000.tif","22","2","h","","H.R. 621","1833-01-04","Read twice, and referred to the Committee on Finance. An Act Making appropriations, in part, for the support of Government for the year one thousand eight hundred and thirty-three, and for certain expenditures of the year one thousand eight hundred and thirty-two.","Committee on Finance"
"llhb","16","00200002.tif","22","2","h","2","H.R. 621","1833-01-04","",""
"llhb","16","00210000.tif","22","2","h","","H.R. 622","1832-12-18","Read twice, and committed to a Committee of the Whole House on the state of the Union. Mr. Anderson, from the Committee on Naval Affairs, reported the following bill: A Bill In addition to the ''Act for the gradual improvement of the Navy of the United States.''","Committee of the Whole House on the state of the Union~Committee on Naval Affairs"
"llhb","16","00220002.tif","22","2","h","2","H.R. 622","1832-12-18","",""
"llhb","16","00230000.tif","22","2","h","","H.R. 622","1833-02-16","In addition to the ''Act for the gradual improvement of the Navy of the United States.''",""
"llhb","16","00240002.tif","22","2","h","2","H.R. 622","1833-02-16","",""
"llhb","16","00250000.tif","22","2","h","","H.R. 623","1832-12-18","Read twice, and committed to a Committee of the Whole House on the state of the Union. Mr. Anderson, from the Committee on Naval Affairs, reported the following bill: A Bill To provide for constructing three Steam Batteries.","Committee of the Whole House on the state of the Union~Committee on Naval Affairs"
"llhb","16","00260000.tif","22","2","h","","H.R. 624","1832-12-18","Read twice, and committed to the Committee of the Whole House to which is committed the bill (H. R. No. 252) for the relief of Abraham A. Masias. Mr. Ward, from the Committee on Military Affairs, reported the following bill: A Bill For the relief of Alexander Macomb.","Committee of the Whole House~Committee on Military Affairs"
"llhb","16","00270000.tif","22","2","h","","H.R. 625","1832-12-18","Read twice, and committed to a Committee of the Whole House on the state of the Union. Mr. Verplanck, from the Committee of Ways and Means, reported the following bill: A Bill Making appropriations for carrying on the Fortifications of the United States during the year eighteen hundred and thirty-three.","Committee of the Whole House on the state of the Union~Committee of Ways and Means"
"llhb","16","00280002.tif","22","2","h","2","H.R. 625","1832-12-18","",""
"llhb","16","00290000.tif","22","2","h","","H.R. 626","1832-12-19","Read twice, and committed to the Committee of the Whole House to which is committed the bill (H. R. No. 237) for granting pensions to certain revolutionary soldiers. Mr. Burges, from the Committee on Invalid Pensions reported the following bill: A Bill For the relief of certain Invalid Pensioners, therein named.","Committee of the Whole House~Committee on Invalid Pensions"
"llhb","16","00300002.tif","22","2","h","2","H.R. 626","1832-12-19","",""
"llhb","16","00310003.tif","22","2","h","3","H.R. 626","1832-12-19","",""
