"llsb","31","00010000.tif","31","1","s","","S. 1","1849-12-27,1850-01-15","Agreeably to notice, Mr. Yulee asked and obtained leave to bring in the following bill; which was read twice, and referred to the Committee on Military Affairs. Reported without amendment. A Bill To provide for the adjustment and payment of expenses incurred and obligations contracted by the State of Florida in providing for the safety of the people of that State during the recent insurrection of the Seminole Indians.","Committee on Military Affairs"
"llsb","31","00020002.tif","31","1","s","2","S. 1","1849-12-27,1850-01-15","",""
"llsb","31","00030000.tif","31","1","s","","S. 1","1850-02-06,1850-02-13","Read twice, and referred to the Committee on Military Affairs. Reported back by Mr. Burt, with an amendment, and committed to the Committee of the Whole House on the state of the Union. The Committee propose to amend by inserting the words in italics. An Act To provide for the adjustment and payment of expenses incurred and obligations contracted by the State of Florida in providing for the safety of the people of that State during the recent insurrection of the Seminole Indians.","Committee on Military Affairs~Committee of the Whole House on the State of the Union"
"llsb","31","00040002.tif","31","1","s","2","S. 1","1850-02-06,1850-02-13","",""
"llsb","31","00050000.tif","31","1","s","","S. 2","1849-12-27,1850-01-23","Agreeably to notice, Mr. walker asked and obtained leave to bring in the following bill; which was read twice, and referred to the Committee on the Judiciary. Reported without amendment. A Bill To authorize the change of venue in certain cases.","Committee on the Judiciary"
"llsb","31","00060002.tif","31","1","s","2","S. 2","1849-12-27,1850-01-23","",""
"llsb","31","00070003.tif","31","1","s","3","S. 2","1849-12-27,1850-01-23","",""
"llsb","31","00080000.tif","31","1","s","","S. 3","1849-12-27,1850-01-28","Agreeably to notice, Mr. Borland asked and obtained leave to bring in the following bill; which was read twice, and referred to the Committee on Public Lands. Reported with amendments, and accompanied by a report, [No. 19.] Strike out all after the enacting clause, and insert what follows printed in Italics: Amend the title to read, a bill to enable the State of Arkansas and other States to reclaim the ""swamp lands"" within their limits. A Bill To grant to the State of Arkansas the Public Lands remaining unsold on account of overflow, in that State.","Committee on Public Lands"
"llsb","31","00090002.tif","31","1","s","2","S. 3","1849-12-27,1850-01-28","",""
"llsb","31","00100003.tif","31","1","s","3","S. 3","1849-12-27,1850-01-28","",""
"llsb","31","00110000.tif","31","1","s","","S. 4","1849-12-27,1850-01-22","Agreeably to notice, Mr. Underwood asked and obtained leave to bring in the following bill; which was read twice, and referred to the Committee of Claims. Reported without amendment, and accompanied by a report [No. 14.] A Bill For the relief of the American Colonization Society.","Committee of Claims"
"llsb","31","00120000.tif","31","1","s","","S. 6","1850-09-16","Committed to a Committee of the Whole House to-morrow, and ordered to be printed. A Bill For the relief of Theodore Offut.","Committee of the Whole House"
"llsb","31","00130000.tif","31","1","s","","S. 6","1849-12-27,1850-01-22","Agreeably to notice, Mr. Underwood asked and obtained leave to bring in the following bill; which was read twice, and referred to the Committee of Claims. Reported without amendment, and accompanied by a report, [No. 15.] A Bill For the relief of Theodore Offut.","Committee of Claims"
"llsb","31","00140000.tif","31","1","s","","S. 7","1849-12-27,1850-01-14","Reported without amendment, and accompanied by a report, (No. 2.) A Bill For the relief of Charles Reeder, Walter R. Johnson, and the legal representatives of Thomas P. Jones.",""
"llsb","31","00150002.tif","31","1","s","2","S. 7","1849-12-27,1850-01-14","",""
